Class|True Positive|False Positive|Accuracy
n02100236-German_short-haired_pointer|16|6|72.72727272727273
n02100583-vizsla|19|4|82.6086956521739
n02100735-English_setter|19|5|79.16666666666666
n02100877-Irish_setter|18|5|78.26086956521739
n02101006-Gordon_setter|20|2|90.9090909090909
n02101388-Brittany_spaniel|21|1|95.45454545454545
n02101556-clumber|21|1|95.45454545454545
n02102040-English_springer|19|4|82.6086956521739
n02102177-Welsh_springer_spaniel|21|1|95.45454545454545
n02102318-cocker_spaniel|19|4|82.6086956521739
n02102480-Sussex_spaniel|19|3|86.36363636363636
n02102973-Irish_water_spaniel|20|2|90.9090909090909
n02104029-kuvasz|17|5|77.27272727272727
n02104365-schipperke|23|0|100.0
n02105056-groenendael|21|1|95.45454545454545
n02105162-malinois|21|1|95.45454545454545
n02105251-briard|18|4|81.81818181818183
n02105412-kelpie|16|6|72.72727272727273
n02105505-komondor|23|0|100.0
n02105641-Old_English_sheepdog|24|1|96.0
n02105855-Shetland_sheepdog|18|5|78.26086956521739
n02106030-collie|12|10|54.54545454545454
n02106166-Border_collie|19|3|86.36363636363636
n02106382-Bouvier_des_Flandres|21|1|95.45454545454545
n02106550-Rottweiler|22|0|100.0
n02106662-German_shepherd|17|5|77.27272727272727
n02107142-Doberman|16|6|72.72727272727273
n02107312-miniature_pinscher|23|4|85.18518518518519
n02107574-Greater_Swiss_Mountain_dog|19|6|76.0
n02107683-Bernese_mountain_dog|30|2|93.75
n02107908-Appenzeller|7|15|31.818181818181817
n02108000-EntleBucher|25|5|83.33333333333334
n02108089-boxer|19|3|86.36363636363636
n02108422-bull_mastiff|22|1|95.65217391304348
n02108551-Tibetan_mastiff|20|2|90.9090909090909
n02108915-French_bulldog|20|3|86.95652173913044
n02109047-Great_Dane|20|3|86.95652173913044
n02109525-Saint_Bernard|25|0|100.0
n02109961-Eskimo_dog|2|20|9.090909090909092
n02110063-malamute|20|6|76.92307692307693
n02110185-Siberian_husky|24|4|85.71428571428571
n02110627-affenpinscher|18|4|81.81818181818183
n02110806-basenji|28|3|90.32258064516128
n02110958-pug|24|6|80.0
n02111129-Leonberg|28|3|90.32258064516128
n02111277-Newfoundland|25|4|86.20689655172413
n02111500-Great_Pyrenees|29|2|93.54838709677419
n02111889-Samoyed|27|5|84.375
n02112018-Pomeranian|29|3|90.625
n02112137-chow|29|0|100.0
n02112350-keeshond|22|1|95.65217391304348
n02112706-Brabancon_griffon|20|2|90.9090909090909
n02113023-Pembroke|25|2|92.5925925925926
n02113186-Cardigan|19|4|82.6086956521739
n02113624-toy_poodle|15|7|68.18181818181817
n02113712-miniature_poodle|15|8|65.21739130434783
n02113799-standard_poodle|16|7|69.56521739130434
n02113978-Mexican_hairless|22|1|95.65217391304348
n02115641-dingo|13|10|56.52173913043478
n02115913-dhole|20|2|90.9090909090909
n02116738-African_hunting_dog|25|0|100.0
