Class|True Positive|False Positive|Accuracy
n02101006-Gordon_setter|21|1|95.45454545454545
n02101388-Brittany_spaniel|22|0|100.0
n02101556-clumber|21|1|95.45454545454545
n02102040-English_springer|21|2|91.30434782608695
n02102177-Welsh_springer_spaniel|21|1|95.45454545454545
n02102318-cocker_spaniel|22|1|95.65217391304348
n02102480-Sussex_spaniel|18|4|81.81818181818183
n02102973-Irish_water_spaniel|19|3|86.36363636363636
n02104029-kuvasz|16|6|72.72727272727273
n02104365-schipperke|23|0|100.0
n02105056-groenendael|20|2|90.9090909090909
n02105162-malinois|21|1|95.45454545454545
n02105251-briard|19|3|86.36363636363636
n02105412-kelpie|19|3|86.36363636363636
n02105505-komondor|22|1|95.65217391304348
n02105641-Old_English_sheepdog|24|1|96.0
n02105855-Shetland_sheepdog|21|2|91.30434782608695
n02106030-collie|14|8|63.63636363636363
n02106166-Border_collie|20|2|90.9090909090909
n02106382-Bouvier_des_Flandres|21|1|95.45454545454545
n02106550-Rottweiler|22|0|100.0
n02106662-German_shepherd|18|4|81.81818181818183
n02107142-Doberman|18|4|81.81818181818183
n02107312-miniature_pinscher|24|3|88.88888888888889
n02107574-Greater_Swiss_Mountain_dog|18|7|72.0
n02107683-Bernese_mountain_dog|30|2|93.75
n02107908-Appenzeller|14|8|63.63636363636363
n02108000-EntleBucher|28|2|93.33333333333333
n02108089-boxer|17|5|77.27272727272727
n02108422-bull_mastiff|22|1|95.65217391304348
n02108551-Tibetan_mastiff|19|3|86.36363636363636
n02108915-French_bulldog|21|2|91.30434782608695
n02109047-Great_Dane|19|4|82.6086956521739
n02109525-Saint_Bernard|24|1|96.0
n02109961-Eskimo_dog|3|19|13.636363636363635
n02110063-malamute|24|2|92.3076923076923
n02110185-Siberian_husky|16|12|57.14285714285714
n02110627-affenpinscher|22|0|100.0
n02110806-basenji|26|5|83.87096774193549
n02110958-pug|26|4|86.66666666666667
n02111129-Leonberg|30|1|96.7741935483871
n02111277-Newfoundland|22|7|75.86206896551724
n02111500-Great_Pyrenees|28|3|90.32258064516128
n02111889-Samoyed|29|3|90.625
n02112018-Pomeranian|27|5|84.375
n02112137-chow|28|1|96.55172413793103
n02112350-keeshond|21|2|91.30434782608695
n02112706-Brabancon_griffon|20|2|90.9090909090909
n02113023-Pembroke|25|2|92.5925925925926
n02113186-Cardigan|19|4|82.6086956521739
n02113624-toy_poodle|11|11|50.0
n02113712-miniature_poodle|16|7|69.56521739130434
n02113799-standard_poodle|17|6|73.91304347826086
n02113978-Mexican_hairless|21|2|91.30434782608695
n02115641-dingo|18|5|78.26086956521739
n02115913-dhole|20|2|90.9090909090909
n02116738-African_hunting_dog|25|0|100.0
