Class|True Positive|False Positive|Accuracy
n02097047-miniature_schnauzer|21|2|91.30434782608695
n02097130-giant_schnauzer|22|1|95.65217391304348
n02097209-standard_schnauzer|15|8|65.21739130434783
n02097298-Scotch_terrier|23|0|100.0
n02097474-Tibetan_terrier|27|3|90.0
n02097658-silky_terrier|24|3|88.88888888888889
n02098105-soft-coated_wheaten_terrier|22|1|95.65217391304348
n02098286-West_Highland_white_terrier|23|2|92.0
n02098413-Lhasa|19|8|70.37037037037037
n02099267-flat-coated_retriever|22|0|100.0
n02099429-curly-coated_retriever|21|1|95.45454545454545
n02099601-golden_retriever|22|0|100.0
n02099712-Labrador_retriever|21|4|84.0
n02099849-Chesapeake_Bay_retriever|23|2|92.0
n02100236-German_short-haired_pointer|22|0|100.0
n02100583-vizsla|22|1|95.65217391304348
n02100735-English_setter|23|1|95.83333333333334
n02100877-Irish_setter|22|1|95.65217391304348
n02101006-Gordon_setter|22|0|100.0
n02101388-Brittany_spaniel|21|1|95.45454545454545
n02101556-clumber|21|1|95.45454545454545
n02102040-English_springer|23|0|100.0
n02102177-Welsh_springer_spaniel|21|1|95.45454545454545
n02102318-cocker_spaniel|21|2|91.30434782608695
n02102480-Sussex_spaniel|20|2|90.9090909090909
n02102973-Irish_water_spaniel|22|0|100.0
n02104029-kuvasz|18|4|81.81818181818183
n02104365-schipperke|23|0|100.0
n02105056-groenendael|22|0|100.0
n02105162-malinois|22|0|100.0
n02105251-briard|20|2|90.9090909090909
n02105412-kelpie|21|1|95.45454545454545
n02105505-komondor|23|0|100.0
n02105641-Old_English_sheepdog|25|0|100.0
n02105855-Shetland_sheepdog|16|7|69.56521739130434
n02106030-collie|16|6|72.72727272727273
n02106166-Border_collie|21|1|95.45454545454545
n02106382-Bouvier_des_Flandres|21|1|95.45454545454545
n02106550-Rottweiler|22|0|100.0
n02106662-German_shepherd|20|2|90.9090909090909
n02107142-Doberman|22|0|100.0
n02107312-miniature_pinscher|26|1|96.29629629629629
n02107574-Greater_Swiss_Mountain_dog|19|6|76.0
n02107683-Bernese_mountain_dog|31|1|96.875
n02107908-Appenzeller|19|3|86.36363636363636
n02108000-EntleBucher|25|5|83.33333333333334
n02108089-boxer|21|1|95.45454545454545
n02108422-bull_mastiff|22|1|95.65217391304348
n02108551-Tibetan_mastiff|20|2|90.9090909090909
n02108915-French_bulldog|23|0|100.0
n02109047-Great_Dane|22|1|95.65217391304348
n02109525-Saint_Bernard|25|0|100.0
n02109961-Eskimo_dog|1|21|4.545454545454546
n02110063-malamute|24|2|92.3076923076923
n02110185-Siberian_husky|25|3|89.28571428571429
n02110627-affenpinscher|21|1|95.45454545454545
n02110806-basenji|29|2|93.54838709677419
n02110958-pug|28|2|93.33333333333333
n02111129-Leonberg|30|1|96.7741935483871
n02111277-Newfoundland|27|2|93.10344827586206
