Class|True Positive|False Positive|Accuracy
n02107142-Doberman|20|2|90.9090909090909
n02107312-miniature_pinscher|21|6|77.77777777777779
n02107574-Greater_Swiss_Mountain_dog|13|12|52.0
n02107683-Bernese_mountain_dog|31|1|96.875
n02107908-Appenzeller|16|6|72.72727272727273
n02108000-EntleBucher|23|7|76.66666666666667
n02108089-boxer|16|6|72.72727272727273
n02108422-bull_mastiff|22|1|95.65217391304348
n02108551-Tibetan_mastiff|18|4|81.81818181818183
n02108915-French_bulldog|20|3|86.95652173913044
n02109047-Great_Dane|19|4|82.6086956521739
n02109525-Saint_Bernard|25|0|100.0
n02109961-Eskimo_dog|5|17|22.727272727272727
n02110063-malamute|22|4|84.61538461538461
n02110185-Siberian_husky|15|13|53.57142857142857
n02110627-affenpinscher|19|3|86.36363636363636
n02110806-basenji|27|4|87.09677419354838
n02110958-pug|24|6|80.0
n02111129-Leonberg|30|1|96.7741935483871
n02111277-Newfoundland|24|5|82.75862068965517
n02111500-Great_Pyrenees|28|3|90.32258064516128
n02111889-Samoyed|28|4|87.5
n02112018-Pomeranian|31|1|96.875
n02112137-chow|28|1|96.55172413793103
n02112350-keeshond|21|2|91.30434782608695
n02112706-Brabancon_griffon|20|2|90.9090909090909
n02113023-Pembroke|23|4|85.18518518518519
n02113186-Cardigan|19|4|82.6086956521739
n02113624-toy_poodle|7|15|31.818181818181817
n02113712-miniature_poodle|18|5|78.26086956521739
n02113799-standard_poodle|16|7|69.56521739130434
n02113978-Mexican_hairless|21|2|91.30434782608695
n02115641-dingo|11|12|47.82608695652174
n02115913-dhole|19|3|86.36363636363636
n02116738-African_hunting_dog|24|1|96.0
